repository,star_range,star,latest_push,files,total_dependencies,number_of_vulnerabilities,ghsa,cve_strings,cvss,severity,sploitus_number_of_pocs
idinging/freemail,150..240,240,2025-09-22T15:22:49Z,package.json,0,0,,,,,0
rapideditor/country-coder,150..240,240,2025-07-29T09:48:31Z,package.json,10,0,,,,,0
evenchange4/graphql.macro,150..240,240,2025-07-25T01:34:10Z,package.json,16,3,"GHSA-5q88-cjfq-g2mh,GHSA-xp63-6vf5-xf3v,GHSA-mh2h-6j8q-x246","CVE-2020-7596,CVE-2020-15123,CVE-2020-7597",9.3,"HIGH,HIGH,MODERATE",0
pelias/api,150..240,240,2025-09-17T18:55:36Z,package.json,37,6,"GHSA-qw6h-vgh9-j6wx,GHSA-rv95-896h-c2vc,GHSA-fwr7-v2mv-hh25,GHSA-wx77-rp39-c6vg,GHSA-gwg9-rgvj-4h5j","CVE-2017-16013,CVE-2017-1000042,CVE-2019-5413,CVE-2024-43796,CVE-2024-29041,CVE-2021-43138","6.1,9.8,5.0,7.5,7.8","CRITICAL,MODERATE,LOW,LOW,HIGH",0
EnigmaticaModpacks/Enigmatica6,150..240,240,2025-08-13T11:09:33Z,package.json,4,4,"GHSA-wf5p-g6vw-rhxx,GHSA-jr5f-v2jv-69x6,GHSA-4hjh-wcwx-xvwj","CVE-2024-57965,CVE-2023-45857,CVE-2025-58754,CVE-2025-27152","0.0,0.0","HIGH,HIGH,MODERATE,HIGH,HIGH",0
eslint/generator-eslint,150..240,240,2025-09-18T16:02:19Z,package.json,9,0,,,,,0
Xeloboyo/Factoriodustry,150..240,240,2025-09-19T08:36:26Z,package.json,0,0,,,,,0
XTLS/Xray-docs-next,150..240,240,2025-09-21T14:45:10Z,package.json,28,2,"GHSA-7rqq-prvp-x9jh,GHSA-8gwm-58g9-j8pw","CVE-2025-54881,CVE-2025-54880",,"MODERATE,MODERATE",0
WDscholia/scholia,150..240,239,2025-08-27T16:13:16Z,package.json,0,0,,,,,0
sindresorhus/public-ip-cli,150..240,239,2025-09-21T13:23:21Z,package.json,6,0,,,,,0
Spyware007/Animating-Buttons,150..240,239,2025-09-19T13:43:00Z,package.json,17,6,"GHSA-8hc4-vh64-cxmj,GHSA-wf5p-g6vw-rhxx,GHSA-3wf4-68gx-mph8,GHSA-jr5f-v2jv-69x6,GHSA-4hjh-wcwx-xvwj","CVE-2024-39338,CVE-2024-11023,CVE-2025-27152,CVE-2024-57965,CVE-2023-45857,CVE-2025-58754",0.0,"MODERATE,HIGH,HIGH,HIGH,MODERATE",1
ishtms/nodebook,150..240,239,2025-09-22T13:30:45Z,package.json,16,0,,,,,0
yeonjuan/html-eslint,150..240,239,2025-09-05T13:32:27Z,package.json,67,5,"GHSA-7fh5-64p2-3v2j,GHSA-52f5-9888-hmc6,GHSA-gcx4-mw62-g8wm,GHSA-xffm-g5w8-qvg7,GHSA-4hjh-wcwx-xvwj","CVE-2025-58754,CVE-2023-44270,CVE-2024-47068,CVE-2025-54798",6.1,"MODERATE,HIGH,HIGH,LOW,LOW",0
doka-guide/platform,150..240,239,2025-09-04T18:02:14Z,package.json,48,2,"GHSA-x7hr-w5r2-h6wg,GHSA-67mh-4wv8-2f99",CVE-2024-53382,,"MODERATE,MODERATE",0
