repository,star_range,star,latest_push,files,total_dependencies,number_of_vulnerabilities,ghsa,cve_strings,cvss,severity,sploitus_number_of_pocs
MylesBorins/node-osc,240..450,450,2025-09-04T16:06:12Z,package.json,5,0,,,,,0
Ilshidur/action-discord,240..450,449,2025-09-24T16:15:05Z,package.json,4,4,"GHSA-4hjh-wcwx-xvwj,GHSA-jr5f-v2jv-69x6,GHSA-cph5-m8f7-6c5x,GHSA-wf5p-g6vw-rhxx","CVE-2025-58754,CVE-2025-27152,CVE-2023-45857,CVE-2021-3749",7.5,"HIGH,MODERATE,HIGH,HIGH",1
github/codespaces-react,240..450,450,2025-09-24T15:33:19Z,package.json,10,0,,,,,0
asmblah/uniter,240..450,450,2025-08-18T12:33:25Z,package.json,18,1,GHSA-qw6h-vgh9-j6wx,CVE-2024-43796,5.0,LOW,0
merdok/homebridge-miot,240..450,448,2025-09-16T05:49:10Z,package.json,7,0,,,,,0
glyphr-studio/Glyphr-Studio-Desktop,240..450,448,2025-08-24T21:25:49Z,package.json,9,1,GHSA-vmqv-hx8q-j7mg,CVE-2025-55305,,MODERATE,0
jwangkun/Prompt-Tools,240..450,446,2025-09-24T13:28:59Z,package.json,9,8,"GHSA-356w-63v5-8wf4,GHSA-vg6x-rcgg-rjx6,GHSA-g4jq-h2w9-997c,GHSA-xcj6-pq6g-qj4x,GHSA-x574-m823-4x7w,GHSA-859w-5945-r5v3,GHSA-jqfw-vq24-v9c3,GHSA-4r4m-qw57-chr8","CVE-2025-30208,CVE-2025-31486,CVE-2025-24010,CVE-2025-46565,CVE-2025-31125,CVE-2025-58752,CVE-2025-32395,CVE-2025-58751",5.3,"MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",42
cwxiaos/bark-worker,240..450,445,2025-09-24T05:59:51Z,package.json,1,0,,,,,0
expressjs/serve-index,240..450,446,2025-08-01T09:22:43Z,package.json,13,0,,,,,0
mishoo/ymacs,240..450,445,2025-08-28T14:53:20Z,package.json,2,0,,,,,0
sindresorhus/p-cancelable,240..450,445,2025-09-10T01:18:41Z,package.json,4,0,,,,,0
fastify/fastify-websocket,240..450,445,2025-09-24T12:50:58Z,package.json,13,2,"GHSA-3h5v-q93c-6h6q,GHSA-mg2h-6x62-wpwc","CVE-2024-37890,CVE-2025-32442","7.5,7.5","HIGH,HIGH",0
fastify/fastify-helmet,240..450,444,2025-09-21T22:00:00Z,package.json,8,1,GHSA-mg2h-6x62-wpwc,CVE-2025-32442,7.5,HIGH,0
AnoyRC/priospace,240..450,445,2025-09-24T07:07:18Z,package.json,21,3,"GHSA-g5qg-72qw-gw5v,GHSA-xv57-4mr9-wg8v,GHSA-4342-x723-ch2f","CVE-2025-55173,CVE-2025-57752,CVE-2025-57822",,"MODERATE,MODERATE,MODERATE",0
braintree/braintree-web,240..450,447,2025-09-17T15:36:24Z,package.json,73,3,"GHSA-x3m3-4wpv-5vgc,GHSA-52f5-9888-hmc6","CVE-2025-54798,CVE-2021-41120,CVE-2024-38999",7.5,"HIGH,LOW",0
tree-sitter/tree-sitter-javascript,240..450,444,2025-09-23T11:10:28Z,package.json,6,0,,,,,0
Zavy86/WikiDocs,240..450,444,2025-09-23T09:09:27Z,package.json,0,0,,,,,0
koajs/compress,240..450,444,2025-09-15T12:01:23Z,package.json,10,0,,,,,0
